3/12/2021 Ultratop - Singles - 05/12/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,05/12/2020,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,5,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,13 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,3,11 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,3
4,5,10 Vianney,,Beau-papa,TOT OU TARD,PIAS,4
5,6,15 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
6,13,11 Miley Cyrus,,Midnight Sky,RCA,SONY,6
7,4,10 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
8,15,9,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8
9,7,18 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
10 9,,10 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,9
11 10,,6,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,10
12 12,,13 Lucky Luke,,Cooler Than Me,B1,SONY,8
13 14,,21 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
14 8,,10 BTS,,Dynamite,BIGHIT,SONY,8
15 25,,10 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
16 11,,7,Banners,Someone To You,ISLAND,UNIVERSAL,11
17 20,,4,Julien Doré,Nous,COLUMBIA,SONY,17
18 16,,12 Kygo x Tina Turner,,What's Love Got To DoWith It,SONY,SONY,6
19 21,,7,Tate McRae,You Broke Me First,RCA,SONY,19
20 17,,7,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
21 24,,23 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
22 19,,16,"Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
23 32,,4,Tiësto,The Business,ATLANTIC,WARNER,23
24 37,,3,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,24
25 27,,7,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,25
26 18,,9,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18
27 NEW 1,,,Dinos feat. Nekfeu,Moins un,CAPITOL,UNIVERSAL,27
28 28,,8,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20
29 34,,8,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26
30 29,,8,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29
31 22,,11 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
32 33,,3,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,32
33 30,,5,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
34 31,,4,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,31
35 43,,4,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35
36 42,,2,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,36
37 26,,3,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,26
38 NEW 1,,,Twocolors,Lovefool,VIRGIN,UNIVERSAL,38
39 39,,5,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
40 38,,6,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7
41 36,,2,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
42 47,,2,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,42
43 NEW 1,,,Vald,Gotaga,ECHELON,SONY,43
44 41,,24 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
45 49,,2,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,45
46 48,,3,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,46
47 NEW 1,,,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,47
48 NEW 1,,,HVME,Goosebumps,B1,SONY,48
49 23,,2,Zola feat. Sch,9 1 1 3,AWA,SONY,23
50 44,,5,Lucenzo,No me ama,PLAY TWO,WARNER,37
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201205,,,,,,,1/1
