#,-1,S,Artiste,Titre,Label,Distributeur,MP,fileDate
22,34,3,Ava Max,My Head & My Heart,ATLANTIC,WARNER,22,06_02_2021
23,23,19,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,11,06_02_2021
24,18,8,Lil Nas X,Holiday,COLUMBIA,SONY,17,06_02_2021
25,22,12,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,19,06_02_2021
26,39,3,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,26,06_02_2021
27,NEW,1,Booba,Ratpi World,CAPITOL,UNIVERSAL,27,06_02_2021
28,41,3,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,28,06_02_2021
29,28,18,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,06_02_2021
30,33,2,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,30,06_02_2021
31,49,2,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,31,06_02_2021
32,27,3,Tones And I,Fly Away,ELEKTRA,WARNER,27,06_02_2021
33,32,5,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,06_02_2021
34,36,4,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,34,06_02_2021
35,24,12,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,14,06_02_2021
36,44,5,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,36,06_02_2021
37,29,8,Amir [FR],On verra bien,PARLOPHONE,WARNER,29,06_02_2021
38,NEW,1,Sia,Courage To Change,ATLANTIC,WARNER,38,06_02_2021
39,RE,2,Suarez,Céleste,LABEL ET LABET,PIAS,39,06_02_2021
40,45,2,The Kid Laroi,Without You,COLUMBIA,SONY,40,06_02_2021
41,NEW,1,Les Enfoirés,Maintenant,COLUMBIA,SONY,41,06_02_2021
42,25,19,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,06_02_2021
43,RE,14,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,06_02_2021
44,47,20,Miley Cyrus,Midnight Sky,RCA,SONY,6,06_02_2021
45,42,30,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,06_02_2021
46,31,3,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31,06_02_2021
47,RE,2,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39,06_02_2021
48,46,11,Justin Bieber & Benny Blanco,Lonely,DEF JAM/INTERSCOPE,UNIVERSAL,37,06_02_2021
49,37,7,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,37,06_02_2021
50,40,5,Louane,Désolée,MERCURY,UNIVERSAL,36,06_02_2021
1,2,6,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,1,06_03_2021
2,1,18,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,06_03_2021
3,4,17,Tiësto,The Business,ATLANTIC,WARNER,2,06_03_2021
4,3,8,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,3,06_03_2021
5,5,7,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,5,06_03_2021
6,6,20,Tate McRae,You Broke Me First,RCA,SONY,3,06_03_2021
7,NEW,1,Tayc,Le temps,PLAY TWO,WARNER,7,06_03_2021
8,8,11,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,4,06_03_2021
9,11,13,Kygo x Donna Summer,Hot Stuff,RCA,SONY,7,06_03_2021
10,27,4,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,10,06_03_2021
11,12,9,Ed Sheeran,Afterglow,ATLANTIC,WARNER,8,06_03_2021
12,13,6,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,12,06_03_2021
13,10,9,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,10,06_03_2021
14,16,12,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,13,06_03_2021
15,7,14,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,7,06_03_2021
16,15,5,Sia,Courage To Change,ATLANTIC,WARNER,15,06_03_2021
17,21,5,Les Enfoirés,Maintenant,COLUMBIA,SONY,17,06_03_2021
18,14,17,Julien Doré,Nous,COLUMBIA,SONY,7,06_03_2021
19,20,7,Ava Max,My Head & My Heart,ATLANTIC,WARNER,17,06_03_2021
20,9,19,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,06_03_2021
21,23,7,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,21,06_03_2021
22,17,12,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,06_03_2021
23,19,6,The Kid Laroi,Without You,COLUMBIA,SONY,19,06_03_2021
24,25,4,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,24,06_03_2021
25,37,3,Kendji Girac,Évidemment,DEF JAM,UNIVERSAL,25,06_03_2021
26,22,8,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,22,06_03_2021
27,28,26,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,06_03_2021
28,36,3,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,28,06_03_2021
29,29,9,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,23,06_03_2021
30,31,24,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,06_03_2021
31,32,6,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,31,06_03_2021
32,30,6,Suarez,Céleste,LABEL ET LABET,PIAS,30,06_03_2021
33,RE,2,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,33,06_03_2021
34,34,6,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,34,06_03_2021
35,40,2,Ashnikko feat. Kelis,Deal With It,PARLOPHONE,WARNER,35,06_03_2021
36,35,23,BTS,Dynamite,BIGHIT,SONY,3,06_03_2021
37,33,2,JC Stewart,Break My Heart,WARNER,WARNER,33,06_03_2021
38,39,3,Delta [BE],Nirvana,BMG RIGHTS,UNIVERSAL,38,06_03_2021
39,18,14,HVME,Goosebumps,B1,SONY,18,06_03_2021
40,48,2,Kid Noize feat. Gio Kemper,Monster Next Door,UNIVERSAL,UNIVERSAL,40,06_03_2021
41,NEW,1,Ofenbach feat. Lagique,Wasted Love,ELEKTRA,WARNER,41,06_03_2021
42,43,5,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,38,06_03_2021
43,24,23,Vianney,Beau-papa,TOT OU TARD,PIAS,2,06_03_2021
44,45,2,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,44,06_03_2021
45,47,2,CJ,Whoopty,CJ,WARNER,45,06_03_2021
46,44,25,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,06_03_2021
47,RE,31,Grand Corps Malade & Camille Lellouche,Mais je t'aime,VIRGIN,UNIVERSAL,12,06_03_2021
48,41,40,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,06_03_2021
49,46,29,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,06_03_2021
50,NEW,1,Antoine Delie,Dis-moi,BMG RIGHTS,WARNER/ADA,50,06_03_2021
1,1,10,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,09_01_2021
2,3,18,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,09_01_2021
3,2,16,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,09_01_2021
4,5,15,BTS,Dynamite,BIGHIT,SONY,4,09_01_2021
5,4,15,Vianney,Beau-papa,TOT OU TARD,PIAS,3,09_01_2021
6,7,11,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,09_01_2021
7,6,15,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,09_01_2021
8,9,12,Tate McRae,You Broke Me First,RCA,SONY,8,09_01_2021
9,11,18,Lucky Luke,Cooler Than Me,B1,SONY,8,09_01_2021
10,10,14,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,09_01_2021
11,8,15,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,09_01_2021
12,13,9,Tiësto,The Business,ATLANTIC,WARNER,10,09_01_2021
13,12,9,Julien Doré,Nous,COLUMBIA,SONY,11,09_01_2021
14,15,16,Miley Cyrus,Midnight Sky,RCA,SONY,6,09_01_2021
15,16,15,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,09_01_2021
16,17,4,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,16,09_01_2021
17,20,4,Lil Nas X,Holiday,COLUMBIA,SONY,17,09_01_2021
18,22,8,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18,09_01_2021
19,14,12,Banners,Someone To You,ISLAND,UNIVERSAL,11,09_01_2021
20,23,20,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,09_01_2021
21,28,23,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,09_01_2021
22,21,5,Kygo x Donna Summer,Hot Stuff,RCA,SONY,21,09_01_2021
23,24,4,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,23,09_01_2021
24,19,26,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,09_01_2021
25,31,12,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,09_01_2021
26,29,7,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,26,09_01_2021
27,26,6,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,09_01_2021
28,37,21,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,09_01_2021
29,18,37,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,09_01_2021
30,35,6,HVME,Goosebumps,B1,SONY,30,09_01_2021
31,33,7,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,09_01_2021
32,27,8,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,09_01_2021
33,38,4,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32,09_01_2021
34,25,12,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,18,09_01_2021
35,34,3,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,34,09_01_2021
36,36,13,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,09_01_2021
37,32,4,Amir [FR],On verra bien,PARLOPHONE,WARNER,32,09_01_2021
38,40,8,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,38,09_01_2021
39,41,29,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,09_01_2021
40,39,16,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,09_01_2021
41,48,3,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41,09_01_2021
42,30,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,09_01_2021
43,RE,11,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,09_01_2021
44,NEW,1,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,44,09_01_2021
45,42,7,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28,09_01_2021
46,44,28,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,09_01_2021
47,RE,4,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,09_01_2021
48,RE,5,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27,09_01_2021
49,RE,6,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,09_01_2021
50,NEW,1,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,50,09_01_2021
1,1,6,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,12_12_2020
2,3,12,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,12_12_2020
3,2,14,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,12_12_2020
4,7,11,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,12_12_2020
5,4,11,Vianney,Beau-papa,TOT OU TARD,PIAS,4,12_12_2020
6,9,19,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,12_12_2020
7,11,7,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7,12_12_2020
8,10,11,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,12_12_2020
9,6,12,Miley Cyrus,Midnight Sky,RCA,SONY,6,12_12_2020
10,12,14,Lucky Luke,Cooler Than Me,B1,SONY,8,12_12_2020
11,8,10,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,12_12_2020
12,17,5,Julien Doré,Nous,COLUMBIA,SONY,12,12_12_2020
13,14,11,BTS,Dynamite,BIGHIT,SONY,8,12_12_2020
14,16,8,Banners,Someone To You,ISLAND,UNIVERSAL,11,12_12_2020
15,20,8,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,12_12_2020
16,19,8,Tate McRae,You Broke Me First,RCA,SONY,16,12_12_2020
17,15,11,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,12_12_2020
18,23,5,Tiësto,The Business,ATLANTIC,WARNER,18,12_12_2020
19,5,16,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,12_12_2020
20,24,4,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,12_12_2020
21,18,13,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6,12_12_2020
22,22,17,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,12_12_2020
23,37,4,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,23,12_12_2020
24,25,8,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,24,12_12_2020
25,26,10,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,12_12_2020
26,13,22,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,12_12_2020
27,21,24,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,12_12_2020
28,47,2,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,28,12_12_2020
29,30,9,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,12_12_2020
30,34,5,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30,12_12_2020
31,32,4,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,31,12_12_2020
32,NEW,1,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,12_12_2020
33,31,12,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,12_12_2020
34,36,3,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,34,12_12_2020
35,RE,33,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,12_12_2020
36,29,9,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,12_12_2020
37,41,3,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,12_12_2020
38,33,6,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,12_12_2020
39,NEW,1,Kygo x Donna Summer,Hot Stuff,RCA,SONY,39,12_12_2020
40,48,2,HVME,Goosebumps,B1,SONY,40,12_12_2020
41,44,25,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,12_12_2020
42,38,2,Twocolors,Lovefool,VIRGIN,UNIVERSAL,38,12_12_2020
