3/12/2021 Ultratop - Singles - 23/01/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,23/01/2021,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,12 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,2,18 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,4,17 BTS,,Dynamite,BIGHIT,SONY,3
4,9,11 Tiësto,,The Business,ATLANTIC,WARNER,4
5,8,14 Tate McRae,,You Broke Me First,RCA,SONY,5
6,7,17 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
7,10,11 Julien Doré,,Nous,COLUMBIA,SONY,7
8,15,6,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8
9,6,13 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
10 3,,17 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
11 5,,20 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
12 13,,16 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
13 NEW 1,,,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,13
14 23,,10 Billie Eilish,,Therefore I Am,INTERSCOPE,UNIVERSAL,14
15 11,,17 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,11
16 17,,18 Miley Cyrus,,Midnight Sky,RCA,SONY,6
17 20,,6,Lil Nas X,Holiday,COLUMBIA,SONY,17
18 14,,14 Banners,,Someone To You,ISLAND,UNIVERSAL,11
19 24,,10 Kylie Minogue,,Magic,BMG RIGHTS,WARNER/ADA,19
20 18,,7,Kygo x Donna Summer,Hot Stuff,RCA,SONY,18
21 22,,5,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21
22 25,,9,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,22
23 29,,3,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,23
24 37,,2,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,24
25 21,,8,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
26 28,,14 Shawn Mendes,,Wonder,ISLAND,UNIVERSAL,15
27 30,,22 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
28 35,,8,HVME,Goosebumps,B1,SONY,28
29 27,,9,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27
30 12,,17 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
31 32,,25 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
32 16,,20 Lucky Luke,,Cooler Than Me,B1,SONY,8
33 NEW 1,,,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,33
34 19,,6,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,19
35 33,,6,Amir [FR],On verra bien,PARLOPHONE,WARNER,32
36 36,,3,Louane,Désolée,MERCURY,UNIVERSAL,36
37 NEW 1,,,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,37
38 NEW 1,,,Ava Max,My Head & My Heart,ATLANTIC,WARNER,38
39 NEW 1,,,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39
40 RE,,2,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,40
41 46,,10 Ofenbach & Quarterhead feat. Norma Jean Martine,,Head Shoulders Knees &Toes,SPINNIN',WARNER,38
42 RE,,3,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30
43 41,,5,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41
44 39,,23,"Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
45 47,,13 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
46 RE,,6,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27
47 38,,3,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,38
48 40,,6,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
49 NEW 1,,,Suarez,Céleste,LABEL ETLABET,PIAS,49
50 31,,28 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210123,,,,,,,1/1
