3/12/2021 Ultratop - Singles - 12/12/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,12/12/2020,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,6,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,3,12 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,2,14 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
4,7,11 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
5,4,11 Vianney,,Beau-papa,TOT OU TARD,PIAS,4
6,9,19 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
7,11,7,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7
8,10,11 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,8
9,6,12 Miley Cyrus,,Midnight Sky,RCA,SONY,6
10 12,,14 Lucky Luke,,Cooler Than Me,B1,SONY,8
11 8,,10 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
12 17,,5,Julien Doré,Nous,COLUMBIA,SONY,12
13 14,,11 BTS,,Dynamite,BIGHIT,SONY,8
14 16,,8,Banners,Someone To You,ISLAND,UNIVERSAL,11
15 20,,8,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15
16 19,,8,Tate McRae,You Broke Me First,RCA,SONY,16
17 15,,11 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
18 23,,5,Tiësto,The Business,ATLANTIC,WARNER,18
19 5,,16 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
20 24,,4,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
21 18,,13 Kygo x Tina Turner,,What's Love Got To DoWith It,SONY,SONY,6
22 22,,"17 Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
23 37,,4,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,23
24 25,,8,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,24
25 26,,10 Justin Bieber feat. Chance The Rapper,,Holy,DEF JAM,UNIVERSAL,18
26 13,,22 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
27 21,,24 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
28 47,,2,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,28
29 30,,9,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29
30 34,,5,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30
31 32,,4,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,31
32 NEW 1,,,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
33 31,,12 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
34 36,,3,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,34
35 RE,,33 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
36 29,,9,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26
37 41,,3,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
38 33,,6,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
39 NEW 1,,,Kygo x Donna Summer,Hot Stuff,RCA,SONY,39
40 48,,2,HVME,Goosebumps,B1,SONY,40
41 44,,25 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
42 38,,2,Twocolors,Lovefool,VIRGIN,UNIVERSAL,38
43 46,,4,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,43
44 NEW 1,,,Amir [FR],On verra bien,PARLOPHONE,WARNER,44
45 27,,2,Dinos feat. Nekfeu,Moins un,CAPITOL,UNIVERSAL,27
46 42,,3,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,42
47 NEW 1,,,M. Pokora,S'en aller,TF1,SONY,47
48 39,,6,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
49 RE,,41 SAINt JHN,,Roses (Imanbek Remix),B1,SONY,1
50 45,,3,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,45
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201212,,,,,,,1/1
