3/12/2021 Ultratop - Singles - 16/01/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,16/01/2021,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,11 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,3,17 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,5,16 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
4,4,16 BTS,,Dynamite,BIGHIT,SONY,4
5,2,19 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
6,6,12 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
7,7,16 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
8,8,13 Tate McRae,,You Broke Me First,RCA,SONY,8
9,12,10 Tiësto,,The Business,ATLANTIC,WARNER,9
10 13,,10 Julien Doré,,Nous,COLUMBIA,SONY,10
11 15,,16 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,11
12 11,,16 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
13 10,,15 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
14 19,,13 Banners,,Someone To You,ISLAND,UNIVERSAL,11
15 16,,5,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,15
16 9,,19 Lucky Luke,,Cooler Than Me,B1,SONY,8
17 14,,17 Miley Cyrus,,Midnight Sky,RCA,SONY,6
18 22,,6,Kygo x Donna Summer,Hot Stuff,RCA,SONY,18
19 23,,5,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,19
20 17,,5,Lil Nas X,Holiday,COLUMBIA,SONY,17
21 27,,7,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
22 35,,4,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,22
23 18,,9,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18
24 32,,9,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
25 26,,8,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,25
26 45,,8,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,26
27 31,,8,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27
28 25,,13 Shawn Mendes,,Wonder,ISLAND,UNIVERSAL,15
29 44,,2,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,29
30 20,,21 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
31 24,,27 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
32 21,,24 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
33 37,,5,Amir [FR],On verra bien,PARLOPHONE,WARNER,32
34 RE,,3,M. Pokora,S'en aller,TF1,SONY,34
35 30,,7,HVME,Goosebumps,B1,SONY,30
36 RE,,2,Louane,Désolée,MERCURY,UNIVERSAL,36
37 NEW 1,,,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,37
38 RE,,2,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,38
39 28,,22,"Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
40 47,,5,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
41 41,,4,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41
42 34,,13 Lost Frequencies & Mathieu Koss,,Don't Leave Me Now,MOSTIKO,CNR,18
43 33,,5,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32
44 29,,38 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
45 NEW 1,,,Tones And I,Fly Away,ELEKTRA,WARNER,45
46 38,,9,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,38
47 43,,12 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
48 RE,,7,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35
49 40,,17 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
50 36,,14 Internet Money & Gunna feat. Don Toliver & Nav,,Lemonade,CAROLINE,UNIVERSAL,29
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210116,,,,,,,1/1
