3/12/2021 Ultratop - Singles - 06/02/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,06/02/2021,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,14 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,3,20 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,5,13 Tiësto,,The Business,ATLANTIC,WARNER,3
4,4,16 Tate McRae,,You Broke Me First,RCA,SONY,4
5,7,19 BTS,,Dynamite,BIGHIT,SONY,3
6,6,15 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
7,2,19 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
8,8,13 Julien Doré,,Nous,COLUMBIA,SONY,7
9,17,4,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,9
10 10,,9,Kygo x Donna Summer,Hot Stuff,RCA,SONY,10
11 13,,3,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,11
12 14,,10 Maître Gims,,Jusqu'ici tout va bien,PLAY TWO,SONY,12
13 15,,22 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
14 9,,8,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8
15 12,,7,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,12
16 16,,8,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,16
17 11,,19 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
18 19,,10 HVME,,Goosebumps,B1,SONY,18
19 21,,5,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,19
20 20,,16 Banners,,Someone To You,ISLAND,UNIVERSAL,11
21 26,,11 Henri PFR x Famba feat. Chiara Castelli,,No One Knows,SPINNIN',SPINNIN',21
22 34,,3,Ava Max,My Head & My Heart,ATLANTIC,WARNER,22
23 23,,19 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,11
24 18,,8,Lil Nas X,Holiday,COLUMBIA,SONY,17
25 22,,12 Kylie Minogue,,Magic,BMG RIGHTS,WARNER/ADA,19
26 39,,3,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,26
27 NEW 1,,,Booba,Ratpi World,CAPITOL,UNIVERSAL,27
28 41,,3,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,28
29 28,,18 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
30 33,,2,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,30
31 49,,2,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,31
32 27,,3,Tones And I,Fly Away,ELEKTRA,WARNER,27
33 32,,5,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30
34 36,,4,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,34
35 24,,12 Billie Eilish,,Therefore I Am,INTERSCOPE,UNIVERSAL,14
36 44,,5,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,36
37 29,,8,Amir [FR],On verra bien,PARLOPHONE,WARNER,29
38 NEW 1,,,Sia,Courage To Change,ATLANTIC,WARNER,38
39 RE,,2,Suarez,Céleste,LABEL ET LABET,PIAS,39
40 45,,2,The Kid Laroi,Without You,COLUMBIA,SONY,40
41 NEW 1,,,Les Enfoirés,Maintenant,COLUMBIA,SONY,41
42 25,,19 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
43 RE,,14 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
44 47,,20 Miley Cyrus,,Midnight Sky,RCA,SONY,6
45 42,,30 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
46 31,,3,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31
47 RE,,2,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39
48 46,,11 Justin Bieber & Benny Blanco,,Lonely,DEF JAM/INTERSCOPE UNIVERSAL,,37
49 37,,7,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,37
50 40,,5,Louane,Désolée,MERCURY,UNIVERSAL,36
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210206,,,,,,,1/1
