3/12/2021 Ultratop - Singles - 27/02/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,27/02/2021,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,17 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,4,5,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,2
3,3,7,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,3
4,2,16 Tiësto,,The Business,ATLANTIC,WARNER,2
5,5,6,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,5
6,6,19 Tate McRae,,You Broke Me First,RCA,SONY,3
7,13,13 Maître Gims,,Jusqu'ici tout va bien,PLAY TWO,SONY,7
8,7,10 Laura Tesoro & Loïc Nottet feat. Alex Germys,,Strangers,SONY,SONY,4
9,9,18 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
10 11,,8,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,10
11 12,,12 Kygo x Donna Summer,,Hot Stuff,RCA,SONY,7
12 8,,8,Ed Sheeran,Afterglow,ATLANTIC,WARNER,8
13 19,,5,Jason Derulo x Nuka,Love Not War (The Tampa Beat) ROBOTS & HUMANS,,SONY,13
14 10,,16 Julien Doré,,Nous,COLUMBIA,SONY,7
15 15,,4,Sia,Courage To Change,ATLANTIC,WARNER,15
16 14,,11 Meduza feat. Dermot Kennedy,,Paradise,ISLAND,UNIVERSAL,13
17 16,,11 Indochine feat. Christine And The Queens,,3Sex,RCA,SONY,8
18 18,,13 HVME,,Goosebumps,B1,SONY,18
19 21,,5,The Kid Laroi,Without You,COLUMBIA,SONY,19
20 17,,6,Ava Max,My Head & My Heart,ATLANTIC,WARNER,17
21 29,,4,Les Enfoirés,Maintenant,COLUMBIA,SONY,21
22 30,,7,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,22
23 26,,6,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,23
24 25,,22 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
25 35,,3,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,25
26 22,,11 Lil Nas X,,Holiday,COLUMBIA,SONY,16
27 34,,3,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,27
28 27,,25 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
29 23,,8,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,23
30 32,,5,Suarez,Céleste,LABEL ET LABET,PIAS,30
31 20,,23 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
32 31,,5,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,31
33 NEW 1,,,JC Stewart,Break My Heart,WARNER,WARNER,33
34 36,,5,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,34
35 28,,22 BTS,,Dynamite,BIGHIT,SONY,3
36 48,,2,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,36
37 45,,2,Kendji Girac,Évidemment,DEF JAM,UNIVERSAL,37
38 43,,14 Justin Bieber & Benny Blanco,,Lonely,DEF JAM/INTERSCOPE UNIVERSAL,,37
39 47,,2,Delta [BE],Nirvana,BMG RIGHTS,UNIVERSAL,39
40 NEW 1,,,Ashnikko feat. Kelis,Deal With It,PARLOPHONE,WARNER,40
41 RE,,39 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
42 39,,22 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
43 38,,4,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,38
44 RE,,24 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
45 NEW 1,,,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,45
46 RE,,28 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
47 NEW 1,,,CJ,Whoopty,CJ,WARNER,47
48 NEW 1,,,Kid Noize feat. Gio Kemper,Monster Next Door,UNIVERSAL,UNIVERSAL,48
49 40,,6,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31
50 42,,19 Banners,,Someone To You,ISLAND,UNIVERSAL,11
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210227,,,,,,,1/1
