3/12/2021 Ultratop - Singles - 20/02/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,20/02/2021,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,16 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,2,15 Tiësto,,The Business,ATLANTIC,WARNER,2
3,5,6,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,3
4,15,4,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,4
5,6,5,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,5
6,3,18 Tate McRae,,You Broke Me First,RCA,SONY,3
7,4,9,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,4
8,17,7,Ed Sheeran,Afterglow,ATLANTIC,WARNER,8
9,12,17 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
10 8,,15 Julien Doré,,Nous,COLUMBIA,SONY,7
11 11,,7,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,11
12 7,,11 Kygo x Donna Summer,,Hot Stuff,RCA,SONY,7
13 10,,12 Maître Gims,,Jusqu'ici tout va bien,PLAY TWO,SONY,10
14 13,,10 Meduza feat. Dermot Kennedy,,Paradise,ISLAND,UNIVERSAL,13
15 34,,3,Sia,Courage To Change,ATLANTIC,WARNER,15
16 9,,10 Indochine feat. Christine And The Queens,,3Sex,RCA,SONY,8
17 20,,5,Ava Max,My Head & My Heart,ATLANTIC,WARNER,17
18 18,,12 HVME,,Goosebumps,B1,SONY,18
19 22,,4,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS SONY,,19
20 21,,22 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
21 37,,4,The Kid Laroi,Without You,COLUMBIA,SONY,21
22 16,,10 Lil Nas X,,Holiday,COLUMBIA,SONY,16
23 39,,7,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,23
24 19,,13 Henri PFR x Famba feat. Chiara Castelli,,No One Knows,SPINNIN',SPINNIN',19
25 14,,21 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
26 23,,5,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,23
27 31,,24 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
28 28,,21 BTS,,Dynamite,BIGHIT,SONY,3
29 35,,3,Les Enfoirés,Maintenant,COLUMBIA,SONY,29
30 36,,6,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,30
31 45,,4,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,31
32 41,,4,Suarez,Céleste,LABEL ET LABET,PIAS,32
33 26,,5,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,26
34 49,,2,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OFSOUND,SONY,34
35 50,,2,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,35
36 RE,,4,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,36
37 RE,,30 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
38 48,,3,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,38
39 24,,21 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
40 40,,5,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31
41 29,,20 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
42 27,,18 Banners,,Someone To You,ISLAND,UNIVERSAL,11
43 44,,13 Justin Bieber & Benny Blanco,,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
44 42,,14 Billie Eilish,,Therefore I Am,INTERSCOPE,UNIVERSAL,14
45 NEW 1,,,Kendji Girac,Évidemment,DEF JAM,UNIVERSAL,45
46 NEW 1,,,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,46
47 NEW 1,,,Delta [BE],Nirvana,BMG RIGHTS,WARNER/ADA,47
48 NEW 1,,,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,48
49 RE,,24,"Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda
- Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
50 30,,2,Sch,Marché noir,REC. 118,WARNER,30
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210220,,,,,,,1/1
