3/12/2021 Ultratop - Singles - 30/01/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,30/01/2021,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,13 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,10,18 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
3,2,19 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
4,5,15 Tate McRae,,You Broke Me First,RCA,SONY,4
5,4,12 Tiësto,,The Business,ATLANTIC,WARNER,4
6,9,14 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
7,3,18 BTS,,Dynamite,BIGHIT,SONY,3
8,7,12 Julien Doré,,Nous,COLUMBIA,SONY,7
9,8,7,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8
10 20,,8,Kygo x Donna Summer,Hot Stuff,RCA,SONY,10
11 6,,18 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
12 21,,6,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,12
13 13,,2,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,13
14 25,,9,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,14
15 11,,21 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
16 34,,7,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,16
17 24,,3,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,17
18 17,,7,Lil Nas X,Holiday,COLUMBIA,SONY,17
19 28,,9,HVME,Goosebumps,B1,SONY,19
20 18,,15 Banners,,Someone To You,ISLAND,UNIVERSAL,11
21 23,,4,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,21
22 19,,11 Kylie Minogue,,Magic,BMG RIGHTS,WARNER/ADA,19
23 15,,18 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,11
24 14,,11 Billie Eilish,,Therefore I Am,INTERSCOPE,UNIVERSAL,14
25 30,,18 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
26 22,,10 Henri PFR x Famba feat. Chiara Castelli,,No One Knows,SPINNIN',SPINNIN',22
27 RE,,2,Tones And I,Fly Away,ELEKTRA,WARNER,27
28 12,,17 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
29 35,,7,Amir [FR],On verra bien,PARLOPHONE,WARNER,29
30 31,,26 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
31 RE,,2,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31
32 42,,4,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30
33 NEW 1,,,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,33
34 38,,2,Ava Max,My Head & My Heart,ATLANTIC,WARNER,34
35 29,,10 Maluma & The Weeknd,,Hawái (Remix),SONY LATIN,SONY,27
36 40,,3,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,36
37 43,,6,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,37
38 RE,,4,M. Pokora,S'en aller,TF1,SONY,34
39 37,,2,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,37
40 36,,4,Louane,Désolée,MERCURY,UNIVERSAL,36
41 33,,2,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,33
42 50,,29 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
43 32,,21 Lucky Luke,,Cooler Than Me,B1,SONY,8
44 47,,4,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,38
45 NEW 1,,,The Kid Laroi,Without You,COLUMBIA,SONY,45
46 RE,,10 Justin Bieber & Benny Blanco,,Lonely,DEF JAM/INTERSCOPE UNIVERSAL,,37
47 16,,19 Miley Cyrus,,Midnight Sky,RCA,SONY,6
48 27,,23 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
49 NEW 1,,,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,49
50 NEW 1,,,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210130,,,,,,,1/1
