3/12/2021 Ultratop - Singles - 26/12/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,26/12/2020,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,8,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,4,16 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,2,14 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
4,3,13 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
5,5,13 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
6,6,13 BTS,,Dynamite,BIGHIT,SONY,6
7,7,13 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,7
8,9,12 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
9,8,16 Lucky Luke,,Cooler Than Me,B1,SONY,8
10 13,,9,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7
11 11,,7,Julien Doré,Nous,COLUMBIA,SONY,11
12 10,,7,Tiësto,The Business,ATLANTIC,WARNER,10
13 15,,10 Banners,,Someone To You,ISLAND,UNIVERSAL,11
14 40,,35 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
15 16,,10 Tate McRae,,You Broke Me First,RCA,SONY,15
16 12,,14 Miley Cyrus,,Midnight Sky,RCA,SONY,6
17 14,,13 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
18 26,,10 Lost Frequencies & Mathieu Koss,,Don't Leave Me Now,MOSTIKO,CNR,18
19 17,,10 Shawn Mendes,,Wonder,ISLAND,UNIVERSAL,15
20 20,,6,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
21 19,,18 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
22 23,,2,Lil Nas X,Holiday,COLUMBIA,SONY,22
23 25,,21 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
24 18,,6,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18
25 22,,14 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
26 30,,24 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
27 35,,5,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27
28 33,,2,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,28
29 21,,4,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
30 29,,3,Kygo x Donna Summer,Hot Stuff,RCA,SONY,29
31 27,,5,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,27
32 38,,2,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32
33 24,,"19 Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
34 34,,12 Justin Bieber feat. Chance The Rapper,,Holy,DEF JAM,UNIVERSAL,18
35 37,,4,HVME,Goosebumps,B1,SONY,35
36 48,,2,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,36
37 32,,11 Internet Money & Gunna feat. Don Toliver & Nav,,Lemonade,CAROLINE,UNIVERSAL,29
38 NEW 1,,,Suarez feat. Maria Del Rio,Feliz Navidad,LABEL ET LABET,PIAS,38
39 31,,26 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
40 39,,6,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35
41 41,,7,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30
42 NEW 1,,,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,42
43 36,,27 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
44 43,,6,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,43
45 RE,,10 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
46 42,,5,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
47 46,,8,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
48 NEW 1,,,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,48
49 44,,3,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
50 50,,8,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201226,,,,,,,1/1
