3/12/2021 Ultratop - Singles - 14/11/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,14/11/2020,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,2,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,10 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,4,12 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
4,3,18 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
5,5,8,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,5
6,6,15 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
7,9,7,Vianney,Beau-papa,TOT OU TARD,PIAS,7
8,8,20 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
9,7,"13Sch - Kofs - Jul - Naps - Soso Maness - Elams -
Solda - Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
10 10,,10 Lucky Luke,,Cooler Than Me,B1,SONY,9
11 12,,7,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,11
12 21,,8,Miley Cyrus,Midnight Sky,RCA,SONY,12
13 16,,7,BTS,Dynamite,BIGHIT,SONY,13
14 26,,3,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
15 14,,9,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6
16 NEW 1,,,Booba,5G,CAPITOL,UNIVERSAL,16
17 18,,7,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,15
18 25,,6,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18
19 13,,7,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13
20 24,,5,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20
21 22,,6,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,21
22 23,,8,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
23 31,,13 Calogero,,La rumeur,POLYDOR,UNIVERSAL,18
24 28,,4,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,24
25 20,,4,Tate McRae,You Broke Me First,RCA,SONY,20
26 27,,14 JC Stewart,,I Need You To Hate Me,WARNER,WARNER,17
27 33,,4,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,27
28 15,,3,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7
29 19,,4,Banners,Someone To You,ISLAND,UNIVERSAL,19
30 11,,16 Louane,,Donne-moi ton cœur,MERCURY,UNIVERSAL,8
31 32,,5,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29
32 30,,5,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,30
33 29,,21 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
34 47,,3,Calvin Harris / The Weeknd,Over Now,COLUMBIA/REPUBLIC SONY/UNIVERSAL,,34
35 34,,3,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,34
36 36,,22 Harry Styles,,Watermelon Sugar,COLUMBIA,SONY,2
37 44,,2,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
38 38,,3,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,38
39 37,,13 Franglish feat. Tory Lanez,,My Salsa,DEF JAM,UNIVERSAL,35
40 NEW 1,,,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,40
41 48,,20 Jawsh 685 & Jason Derulo,,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,2
42 49,,19 Julien Doré,,La fièvre,COLUMBIA,SONY,7
43 35,,25 DaBaby feat. Roddy Ricch,,Rockstar,INTERSCOPE,TOPNOTCH/UNIVERSAL,9
44 41,,20 Amir [FR],,La fête,PARLOPHONE,WARNER,9
45 42,,2,Dadju,Amour toxic,POLYDOR,UNIVERSAL,42
46 NEW 1,,,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,46
47 NEW 1,,,Julien Doré,Nous,COLUMBIA,SONY,47
48 39,,26 Dua Lipa,,Break My Heart,WARNER,WARNER,8
49 RE,,5,Suarez feat. Maria Del Rio,Sarà perché ti amo,LABEL ET LABET,PIAS,33
50 NEW 1,,,Tiësto,The Business,ATLANTIC,WARNER,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201114,,,,,,,1/1
