3/12/2021 Ultratop - Singles - 09/01/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,09/01/2021,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,10 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,3,18 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,2,16 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
4,5,15 BTS,,Dynamite,BIGHIT,SONY,4
5,4,15 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
6,7,11 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
7,6,15 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
8,9,12 Tate McRae,,You Broke Me First,RCA,SONY,8
9,11,18 Lucky Luke,,Cooler Than Me,B1,SONY,8
10 10,,14 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
11 8,,15 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
12 13,,9,Tiësto,The Business,ATLANTIC,WARNER,10
13 12,,9,Julien Doré,Nous,COLUMBIA,SONY,11
14 15,,16 Miley Cyrus,,Midnight Sky,RCA,SONY,6
15 16,,15 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
16 17,,4,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,16
17 20,,4,Lil Nas X,Holiday,COLUMBIA,SONY,17
18 22,,8,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18
19 14,,12 Banners,,Someone To You,ISLAND,UNIVERSAL,11
20 23,,20 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
21 28,,23 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
22 21,,5,Kygo x Donna Summer,Hot Stuff,RCA,SONY,21
23 24,,4,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,23
24 19,,26 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
25 31,,12 Shawn Mendes,,Wonder,ISLAND,UNIVERSAL,15
26 29,,7,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,26
27 26,,6,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
28 37,,21,"Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
29 18,,37 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
30 35,,6,HVME,Goosebumps,B1,SONY,30
31 33,,7,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27
32 27,,8,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
33 38,,4,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32
34 25,,12 Lost Frequencies & Mathieu Koss,,Don't Leave Me Now,MOSTIKO,CNR,18
35 34,,3,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,34
36 36,,13 Internet Money & Gunna feat. Don Toliver & Nav,,Lemonade,CAROLINE,UNIVERSAL,29
37 32,,4,Amir [FR],On verra bien,PARLOPHONE,WARNER,32
38 40,,8,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,38
39 41,,29 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
40 39,,16 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
41 48,,3,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41
42 30,,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30
43 RE,,11 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
44 NEW 1,,,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,44
45 42,,7,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28
46 44,,28 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
47 RE,,4,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32
48 RE,,5,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27
49 RE,,6,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36
50 NEW 1,,,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210109,,,,,,,1/1
