3/12/2021 Ultratop - Singles - 21/11/2020,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,21/11/2020,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,3,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,11 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
3,5,9,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,3
4,11,8,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4
5,3,13 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
6,4,19 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
7,6,16 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
8,10,11 Lucky Luke,,Cooler Than Me,B1,SONY,8
9,7,8,Vianney,Beau-papa,TOT OU TARD,PIAS,7
10 12,,9,Miley Cyrus,Midnight Sky,RCA,SONY,10
11 14,,4,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,11
12 13,,8,BTS,Dynamite,BIGHIT,SONY,12
13 17,,8,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,13
14 21,,7,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,14
15 9,,14,"Sch - Kofs - Jul - Naps - Soso Maness - Elams -
Solda - Houari",Bande organisée,RIEN 100 RIEN,PIAS,2
16 8,,21 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
17 19,,8,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13
18 22,,9,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
19 25,,5,Tate McRae,You Broke Me First,RCA,SONY,19
20 18,,7,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18
21 24,,5,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,21
22 15,,10 Kygo x Tina Turner,,What's Love Got To DoWith It,SONY,SONY,6
23 29,,5,Banners,Someone To You,ISLAND,UNIVERSAL,19
24 20,,6,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20
25 26,,15 JC Stewart,,I Need You To Hate Me,WARNER,WARNER,17
26 32,,6,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26
27 35,,4,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27
28 27,,5,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,27
29 47,,2,Julien Doré,Nous,COLUMBIA,SONY,29
30 31,,6,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29
31 28,,4,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7
32 23,,14 Calogero,,La rumeur,POLYDOR,UNIVERSAL,18
33 30,,17 Louane,,Donne-moi ton cœur,MERCURY,UNIVERSAL,8
34 45,,3,Dadju,Amour toxic,POLYDOR,UNIVERSAL,34
35 33,,22 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
36 RE,,17 Aya Nakamura,,Jolie nana,REC. 118,WARNER,2
37 NEW 1,,,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,37
38 34,,4,Calvin Harris / The Weeknd,Over Now,COLUMBIA/REPUBLIC SONY/UNIVERSAL,,34
39 37,,3,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
40 NEW 1,,,Aya Nakamura,Doudou,REC. 118,WARNER,40
41 NEW 1,,,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,41
42 36,,23 Harry Styles,,Watermelon Sugar,COLUMBIA,SONY,2
43 50,,2,Tiësto,The Business,ATLANTIC,WARNER,43
44 40,,2,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,40
45 RE,,16 Robin Schulz & Wes,,Alane,WARNER,WARNER,5
46 38,,4,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,38
47 39,,14 Franglish feat. Tory Lanez,,My Salsa,DEF JAM,UNIVERSAL,35
48 RE,,2,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,45
49 RE,,3,Lucenzo,No me ama,PLAY TWO,WARNER,37
50 16,,2,Booba,5G,CAPITOL,UNIVERSAL,16
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20201121,,,,,,,1/1
