3/12/2021 Ultratop - Singles - 13/02/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,,13/02/2021,,,
# -1,,S,Artiste,Titre,Label,Distributeur,MP
1,1,15 Dua Lipa feat. Angèle,,Fever,WARNER,WARNER,1
2,3,14 Tiësto,,The Business,ATLANTIC,WARNER,2
3,4,17 Tate McRae,,You Broke Me First,RCA,SONY,3
4,15,8,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,4
5,9,5,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,5
6,11,4,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,6
7,10,10 Kygo x Donna Summer,,Hot Stuff,RCA,SONY,7
8,8,14 Julien Doré,,Nous,COLUMBIA,SONY,7
9,14,9,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8
10 12,,11 Maître Gims,,Jusqu'ici tout va bien,PLAY TWO,SONY,10
11 19,,6,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,11
12 6,,16 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,6
13 16,,9,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,13
14 7,,20 Vianney,,Beau-papa,TOT OU TARD,PIAS,2
15 31,,3,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,15
16 24,,9,Lil Nas X,Holiday,COLUMBIA,SONY,16
17 33,,6,Ed Sheeran,Afterglow,ATLANTIC,WARNER,17
18 18,,11 HVME,,Goosebumps,B1,SONY,18
19 21,,12 Henri PFR x Famba feat. Chiara Castelli,,No One Knows,SPINNIN',SPINNIN',19
20 22,,4,Ava Max,My Head & My Heart,ATLANTIC,WARNER,20
21 2,,21 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
22 30,,3,Jason Derulo x Nuka,Love Not War (The Tampa Beat) ROBOTS & HUMANS,,SONY,22
23 26,,4,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,23
24 17,,20 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
25 NEW 1,,,Hamza feat. Zed,Réel,REC. 118,WARNER,25
26 28,,4,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,26
27 20,,17 Banners,,Someone To You,ISLAND,UNIVERSAL,11
28 5,,20 BTS,,Dynamite,BIGHIT,SONY,3
29 29,,19 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
30 NEW 1,,,Sch,Marché noir,REC. 118,WARNER,30
31 13,,23 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
32 32,,4,Tones And I,Fly Away,ELEKTRA,WARNER,27
33 RE,,27 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
34 38,,2,Sia,Courage To Change,ATLANTIC,WARNER,34
35 41,,2,Les Enfoirés,Maintenant,COLUMBIA,SONY,35
36 34,,5,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,34
37 40,,3,The Kid Laroi,Without You,COLUMBIA,SONY,37
38 37,,9,Amir [FR],On verra bien,PARLOPHONE,WARNER,29
39 36,,6,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,36
40 46,,4,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31
41 39,,3,Suarez,Céleste,LABEL ET LABET,PIAS,39
42 35,,13 Billie Eilish,,Therefore I Am,INTERSCOPE,UNIVERSAL,14
43 43,,15 Sam Smith,,Diamonds,CAPITOL,UNIVERSAL,26
44 48,,12 Justin Bieber & Benny Blanco,,Lonely,DEF JAM/INTERSCOPE UNIVERSAL,,37
45 47,,3,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39
46 27,,2,Booba,Ratpi World,CAPITOL,UNIVERSAL,27
47 44,,21 Miley Cyrus,,Midnight Sky,RCA,SONY,6
48 RE,,2,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,48
49 NEW 1,,,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,49
50 NEW 1,,,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210213,,,,,,,1/1
