3/12/2021 Ultratop - Singles - 02/01/2021,,,,,,,
Belgique francophone - Le seul classement officiel,,,,,,,
Singles,,,02/01/2021,,,,
# -1,,S,Artiste,Titre,Label,Distributeur MP,
1,1,9,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,3,15 David Guetta & Sia,,Let's Love,PARLOPHONE,WARNER,2
3,2,17 24kGoldn feat. Iann Dior,,Mood,COLUMBIA,SONY,2
4,4,14 Vianney,,Beau-papa,TOT OU TARD,PIAS,3
5,6,14 BTS,,Dynamite,BIGHIT,SONY,5
6,7,14 Jason Derulo,,Take You Dancing,ATLANTIC,WARNER,6
7,10,10 Ariana Grande,,Positions,REPUBLIC,UNIVERSAL,7
8,5,14 Ava Max,,Who's Laughing Now?,ATLANTIC,WARNER,4
9,15,11 Tate McRae,,You Broke Me First,RCA,SONY,9
10 8,,13 Clean Bandit and Mabel feat. 24kGoldn,,Tick Tock,ATLANTIC,WARNER,8
11 9,,17 Lucky Luke,,Cooler Than Me,B1,SONY,8
12 11,,8,Julien Doré,Nous,COLUMBIA,SONY,11
13 12,,8,Tiësto,The Business,ATLANTIC,WARNER,10
14 13,,11 Banners,,Someone To You,ISLAND,UNIVERSAL,11
15 16,,15 Miley Cyrus,,Midnight Sky,RCA,SONY,6
16 17,,14 Kendji Girac feat. Gims,,Dernier métro,DEF JAM,UNIVERSAL,13
17 28,,3,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,17
18 14,,36 The Weeknd,,Blinding Lights,REPUBLIC,UNIVERSAL,1
19 26,,25 Master KG feat. Burna Boy & Nomcebo Zikode,,Jerusalema (Remix),ELEKTRA,WARNER,1
20 22,,3,Lil Nas X,Holiday,COLUMBIA,SONY,20
21 30,,4,Kygo x Donna Summer,Hot Stuff,RCA,SONY,21
22 24,,7,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18
23 21,,19 Joel Corry feat. MNEK,,Head & Heart,ASYLUM,WARNER,3
24 36,,3,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,24
25 18,,11 Lost Frequencies & Mathieu Koss,,Don't Leave Me Now,MOSTIKO,CNR,18
26 29,,5,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21
27 20,,7,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20
28 23,,22 Amel Bent x Imen Es,,Jusqu'au bout,DEF JAM,UNIVERSAL,6
29 31,,6,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,27
30 NEW 1,,,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30
31 19,,11 Shawn Mendes,,Wonder,ISLAND,UNIVERSAL,15
32 RE,,3,Amir [FR],On verra bien,PARLOPHONE,WARNER,32
33 27,,6,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27
34 48,,2,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,34
35 35,,5,HVME,Goosebumps,B1,SONY,35
36 37,,12 Internet Money & Gunna feat. Don Toliver & Nav,,Lemonade,CAROLINE,UNIVERSAL,29
37 33,,"20 Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -
Houari",,Bande organisée,RIEN 100 RIEN,PIAS,2
38 32,,3,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32
39 25,,15 Naza feat. Niska,,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17
40 44,,7,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,40
41 43,,28 Grand Corps Malade & Camille Lellouche,,Mais je t'aime,CAROLINE,UNIVERSAL,12
42 RE,,6,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28
43 NEW 1,,,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,43
44 39,,27 Zoe Wees,,Control,CAROLINE,UNIVERSAL,3
45 34,,13 Justin Bieber feat. Chance The Rapper,,Holy,DEF JAM,UNIVERSAL,18
46 50,,9,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37
47 47,,9,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30
48 42,,2,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,42
49 38,,2,Suarez feat. Maria Del Rio,Feliz Navidad,LABEL ET LABET,PIAS,38
50 NEW 1,,,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,50
https://www.ultratop.be/weekchart_print.asp?lang=fr&cat=s&date=20210102,,,,,,,1/1
