3/12/2021 Ultratop - Singles - 09/01/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,09/01/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,2,10,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,4,19,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
3,1,13,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
4,3,22,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
5,10,6,Tiësto,The Business,ATLANTIC,WARNER,5
6,8,18,Tate McRae,You Broke Me First,RCA,SONY,4
7,28,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,7
8,5,20,BTS,Dynamite,BIGHIT,SONY,5
9,7,8,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7
10 19,,23,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1
11 6,,57,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
12 18,,11,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
13 17,,8,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,12
14 21,,16,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
15 14,,10,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14
16 24,,16,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
17 11,,17,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
18 23,,9,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
19 15,,5,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,15
20 12,,3,The Kid Laroi,Without You,COLUMBIA,SONY,12
21 22,,8,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
22 27,,13,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11
23 29,,5,Lil Nas X,Holiday,COLUMBIA,SONY,9
24 9,,16,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
25 34,,20,Miley Cyrus,Midnight Sky,RCA,SONY,6
26 20,,15,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
27 35,,11,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
28 25,,14,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
29 16,,27,Banners,Someone To You,ISLAND,UNIVERSAL,8
30 30,,7,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
31 33,,8,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27
32 36,,32,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
33 31,,14,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
34 40,,14,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
35 38,,16,"Internet Money & Gunna feat. Don Toliver &
Nav",Lemonade,CAROLINE,UNIVERSAL,13
36 NEW,,1,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,36
37 13,,26,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
38 26,,66,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
39 44,,10,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
40 47,,11,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
41 39,,9,Milow,First Day Of My Life,HOMERUN,SONY,28
42 49,,8,James Arthur,Train Wreck,COLUMBIA,SONY,41
43 37,,8,Harry Styles,Golden,COLUMBIA,SONY,37
44 RE,,2,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS SONY,,44
45 46,,29,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1
46 NEW,,1,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,46
47 48,,2,Nothing But Thieves,Impossible,RCA,SONY,47
48 43,,16,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
49 RE,,26,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
50 45,,14,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210109,,,,,,,1/1
