3/12/2021 Ultratop - Singles - 30/01/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,30/01/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,3,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,4,9,Tiësto,The Business,ATLANTIC,WARNER,2
3,3,16,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
4,5,6,The Kid Laroi,Without You,COLUMBIA,SONY,4
5,2,13,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
6,8,5,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
7,6,25,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
8,7,22,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
9,9,11,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',9
10 12,,8,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
11 10,,13,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
12 11,,21,Tate McRae,You Broke Me First,RCA,SONY,4
13 15,,11,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,13
14 16,,23,BTS,Dynamite,BIGHIT,SONY,5
15 14,,16,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11
16 23,,3,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,16
17 13,,11,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
18 17,,23,Miley Cyrus,Midnight Sky,RCA,SONY,6
19 21,,12,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
20 18,,19,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
21 19,,4,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19
22 26,,3,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,22
23 24,,20,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
24 32,,5,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,24
25 27,,14,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
26 30,,8,Lil Nas X,Holiday,COLUMBIA,SONY,9
27 44,,2,HVME,Goosebumps,B1,SONY,27
28 20,,19,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
29 25,,17,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
30 22,,3,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,22
31 29,,11,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
32 34,,30,Banners,Someone To You,ISLAND,UNIVERSAL,8
33 28,,19,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
34 39,,2,Sheppard,Learning To Fly,DECCA,UNIVERSAL,34
35 33,,60,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
36 35,,10,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
37 NEW,,1,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,37
38 31,,18,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
39 37,,26,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
40 38,,35,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
41 40,,4,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
42 36,,14,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
43 NEW,,1,Billie Eilish / Rosalía,Lo vas a olvidar,INTERSCOPE,UNIVERSAL,43
44 45,,29,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
45 48,,2,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,45
46 49,,10,James Arthur,Train Wreck,COLUMBIA,SONY,41
47 NEW,,1,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',SPINNIN',47
48 50,,13,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
49 43,,19,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
50 RE,,4,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210130,,,,,,,1/1
