3/12/2021 Ultratop - Singles - 26/12/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,26/12/2020,,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,1,8,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,2,11,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2
3,3,20,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
4,4,17,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
5,5,16,Tate McRae,You Broke Me First,RCA,SONY,4
6,16,4,Tiësto,The Business,ATLANTIC,WARNER,6
7,8,18,BTS,Dynamite,BIGHIT,SONY,6
8,7,6,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7
9,20,3,Lil Nas X,Holiday,COLUMBIA,SONY,9
10 9,,14,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
11 6,,9,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
12 23,,6,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,12
13 17,,15,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
14 10,,6,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
15 11,,55,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
16 14,,8,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14
17 19,,12,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
18 12,,14,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
19 22,,21,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
20 18,,14,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
21 15,,18,Miley Cyrus,Midnight Sky,RCA,SONY,6
22 13,,11,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11
23 21,,13,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
24 24,,25,Banners,Someone To You,ISLAND,UNIVERSAL,8
25 31,,7,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
26 25,,9,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
27 34,,30,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
28 27,,5,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
29 30,,6,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27
30 35,,24,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
31 29,,14,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
32 26,,12,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
33 28,,3,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,28
34 33,,2,Noordkaap & Warmste Koor,Ik hou van u 2020,NOORDKAAP,NOORDKAAP,33
35 NEW,,1,The Kid Laroi,Without You,COLUMBIA,SONY,35
36 37,,3,"Dimitri Vegas & Like Mike x Armin van Buuren x Brennan
Heart feat. Jeremy Oceans",Christmas Time,"SMASH THE
HOUSE","SMASH THE
HOUSE",36
37 47,,12,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
38 42,,6,Harry Styles,Golden,COLUMBIA,SONY,38
39 40,,9,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
40 32,,12,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26
41 45,,14,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
42 36,,8,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
43 41,,7,Milow,First Day Of My Life,HOMERUN,SONY,28
44 50,,64,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
45 48,,2,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45
46 44,,6,James Arthur,Train Wreck,COLUMBIA,SONY,41
47 49,,27,Jawsh 685 & Jason Derulo,Savage Love (Laxed -Siren Beat),COLUMBIA,SONY,1
48 46,,2,CJ,Whoopty,CJ,WARNER,46
49 38,,14,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
50 39,,5,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201226,,,,,,,1/1
