3/12/2021 Ultratop - Singles - 12/12/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,12/12/2020,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,1,6,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,3,18,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
3,2,9,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,2
4,5,14,Tate McRae,You Broke Me First,RCA,SONY,4
5,4,15,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
6,6,7,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
7,13,4,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7
8,7,11,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
9,9,16,Miley Cyrus,Midnight Sky,RCA,SONY,6
10 11,,4,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
11 16,,9,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11
12 18,,13,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
13 21,,53,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
14 20,,10,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
15 8,,16,BTS,Dynamite,BIGHIT,SONY,6
16 15,,12,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
17 12,,12,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
18 10,,19,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1
19 38,,28,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
20 25,,6,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,20
21 19,,7,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
22 27,,23,Banners,Someone To You,ISLAND,UNIVERSAL,8
23 30,,4,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,23
24 14,,5,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
25 17,,12,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
26 39,,7,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
27 31,,4,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27
28 23,,10,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
29 29,,10,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
30 22,,12,"Internet Money & Gunna feat. Don Toliver &
Nav",Lemonade,CAROLINE,UNIVERSAL,13
31 32,,37,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3
32 40,,2,Tiësto,The Business,ATLANTIC,WARNER,32
33 49,,62,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
34 34,,5,Milow,First Day Of My Life,HOMERUN,SONY,28
35 24,,25,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
36 26,,22,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
37 36,,5,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32
38 NEW,,1,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,38
39 35,,3,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35
40 28,,3,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,28
41 42,,4,Harry Styles,Golden,COLUMBIA,SONY,41
42 NEW,,1,Lil Nas X,Holiday,COLUMBIA,SONY,42
43 41,,6,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
44 37,,10,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26
45 33,,12,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
46 46,,12,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
47 RE,,25,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1
48 RE,,5,Miss Montreal,Door de wind,CORNELIS,CORNELIS,36
49 NEW,,1,Lissa Lewis,Regenboog meisje,MOSTIKO,CNR,49
50 NEW,,1,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS SONY,,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201212,,,,,,,1/1
