3/12/2021 Ultratop - Singles - 19/12/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,19/12/2020,,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,1,7,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,3,10,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2
3,2,19,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
4,5,16,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
5,4,15,Tate McRae,You Broke Me First,RCA,SONY,4
6,6,8,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
7,7,5,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7
8,15,17,BTS,Dynamite,BIGHIT,SONY,6
9,17,13,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
10 10,,5,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
11 13,,54,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
12 25,,13,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
13 11,,10,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11
14 20,,7,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14
15 9,,17,Miley Cyrus,Midnight Sky,RCA,SONY,6
16 32,,3,Tiësto,The Business,ATLANTIC,WARNER,16
17 12,,14,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
18 16,,13,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
19 14,,11,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
20 42,,2,Lil Nas X,Holiday,COLUMBIA,SONY,20
21 8,,12,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
22 18,,20,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
23 23,,5,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,23
24 22,,24,Banners,Someone To You,ISLAND,UNIVERSAL,8
25 21,,8,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
26 28,,11,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
27 40,,4,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
28 38,,2,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,28
29 30,,13,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
30 27,,5,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27
31 24,,6,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
32 44,,11,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26
33 NEW,,1,Noordkaap & Warmste Koor,Ik hou van u 2020,NOORDKAAP,NOORDKAAP,33
34 19,,29,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
35 36,,23,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
36 43,,7,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
37 RE,,2,"Dimitri Vegas & Like Mike x Armin van Buuren x Brennan
Heart feat. Jeremy Oceans",Christmas Time,"SMASH THE
HOUSE","SMASH THE
HOUSE",37
38 45,,13,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
39 39,,4,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35
40 26,,8,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
41 34,,6,Milow,First Day Of My Life,HOMERUN,SONY,28
42 41,,5,Harry Styles,Golden,COLUMBIA,SONY,41
43 RE,,17,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37
44 RE,,5,James Arthur,Train Wreck,COLUMBIA,SONY,41
45 46,,13,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
46 NEW,,1,CJ,Whoopty,CJ,WARNER,46
47 29,,11,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
48 NEW,,1,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,48
49 47,,26,Jawsh 685 & Jason Derulo,Savage Love (Laxed -Siren Beat),COLUMBIA,SONY,1
50 33,,63,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201219,,,,,,,1/1
