3/12/2021 Ultratop - Singles - 16/01/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,16/01/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,11,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,3,14,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
3,5,7,Tiësto,The Business,ATLANTIC,WARNER,3
4,4,23,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
5,7,3,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
6,20,4,The Kid Laroi,Without You,COLUMBIA,SONY,6
7,2,20,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
8,15,11,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
9,8,21,BTS,Dynamite,BIGHIT,SONY,5
10 19,,6,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
11 6,,19,Tate McRae,You Broke Me First,RCA,SONY,4
12 13,,9,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,12
13 9,,9,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
14 22,,14,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11
15 17,,18,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
16 12,,12,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
17 21,,9,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
18 16,,17,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
19 14,,17,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
20 36,,2,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,20
21 25,,21,Miley Cyrus,Midnight Sky,RCA,SONY,6
22 31,,9,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,22
23 NEW,,1,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,23
24 24,,17,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
25 23,,6,Lil Nas X,Holiday,COLUMBIA,SONY,9
26 11,,58,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
27 28,,15,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
28 10,,24,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
29 18,,10,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
30 39,,11,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
31 29,,28,Banners,Someone To You,ISLAND,UNIVERSAL,8
32 27,,12,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
33 NEW,,1,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,33
34 26,,16,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
35 30,,8,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
36 NEW,,1,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,36
37 32,,33,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
38 33,,15,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
39 37,,27,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
40 46,,2,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
41 NEW,,1,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,41
42 44,,3,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,42
43 35,,17,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
44 41,,10,Milow,First Day Of My Life,HOMERUN,SONY,28
45 47,,3,Nothing But Thieves,Impossible,RCA,SONY,45
46 38,,67,Tones And I,Dance Monkey,ELEKTRA,WARNER,1
47 48,,17,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
48 40,,12,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
49 RE,,3,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45
50 RE,,6,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210116,,,,,,,1/1
