3/12/2021 Ultratop - Singles - 27/02/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,27/02/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,7,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,4,10,The Kid Laroi,Without You,COLUMBIA,SONY,2
3,8,3,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,3
4,5,7,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,4
5,2,13,Tiësto,The Business,ATLANTIC,WARNER,2
6,3,17,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
7,6,20,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
8,25,4,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,8
9,7,9,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
10 10,,12,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
11 11,,29,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
12 9,,15,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7
13 14,,7,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,13
14 16,,6,HVME,Goosebumps,B1,SONY,14
15 20,,8,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,15
16 17,,15,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
17 26,,9,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,17
18 NEW,,1,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND SONY,,18
19 12,,20,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8
20 15,,15,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12
21 18,,25,Tate McRae,You Broke Me First,RCA,SONY,4
22 21,,26,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
23 13,,16,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13
24 19,,7,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16
25 24,,17,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
26 31,,6,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,26
27 22,,5,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,22
28 27,,27,BTS,Dynamite,BIGHIT,SONY,5
29 30,,64,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
30 29,,6,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25
31 28,,21,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
32 23,,24,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
33 38,,12,Lil Nas X,Holiday,COLUMBIA,SONY,9
34 32,,34,Banners,Someone To You,ISLAND,UNIVERSAL,8
35 35,,14,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
36 46,,2,Dua Lipa,We're Good,WARNER,WARNER,36
37 47,,2,JC Stewart,Break My Heart,WARNER,WARNER,37
38 34,,15,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
39 41,,23,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
40 NEW,,1,Tom Grennan,Little Bit Of Love,INSANITY,SONY,40
41 RE,,2,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,41
42 39,,4,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39
43 36,,18,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
44 40,,3,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40
45 37,,4,Maude [BE],Dance You Off,MOSTIKO,CNR,31
46 43,,27,Miley Cyrus,Midnight Sky,RCA,SONY,6
47 42,,3,Sara Kays,Remember That Night?,ATLANTIC,WARNER,42
48 33,,23,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
49 NEW,,1,Lil Tjay feat. 6lack,Calling My Phone,COLUMBIA,SONY,49
50 NEW,,1,Cleymans & Van Geel,En route,DPG/INMEDIATE INT,CNR,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210227,,,,,,,1/1
