3/12/2021 Ultratop - Singles - 23/01/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,23/01/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,23,2,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,1,12,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
3,2,15,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
4,3,8,Tiësto,The Business,ATLANTIC,WARNER,3
5,6,5,The Kid Laroi,Without You,COLUMBIA,SONY,5
6,4,24,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
7,7,21,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
8,5,4,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
9,12,10,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,9
10 8,,12,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
11 11,,20,Tate McRae,You Broke Me First,RCA,SONY,4
12 10,,7,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
13 13,,10,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
14 14,,15,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11
15 22,,10,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,15
16 9,,22,BTS,Dynamite,BIGHIT,SONY,5
17 21,,22,Miley Cyrus,Midnight Sky,RCA,SONY,6
18 24,,18,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
19 20,,3,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19
20 19,,18,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
21 29,,11,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
22 33,,2,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,22
23 36,,2,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,23
24 15,,19,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
25 27,,16,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
26 41,,2,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,26
27 16,,13,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
28 18,,18,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
29 17,,10,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
30 25,,7,Lil Nas X,Holiday,COLUMBIA,SONY,9
31 34,,17,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
32 42,,4,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,32
33 26,,59,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
34 31,,29,Banners,Someone To You,ISLAND,UNIVERSAL,8
35 35,,9,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
36 32,,13,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
37 28,,25,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
38 37,,34,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
39 NEW,,1,Sheppard,Learning To Fly,DECCA,UNIVERSAL,39
40 40,,3,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
41 44,,11,Milow,First Day Of My Life,HOMERUN,SONY,28
42 38,,16,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
43 43,,18,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13
44 NEW,,1,HVME,Goosebumps,B1,SONY,44
45 39,,28,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
46 RE,,2,Lissa Lewis,Regenboog meisje,MOSTIKO,CNR,46
47 48,,13,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26
48 NEW,,1,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,48
49 RE,,9,James Arthur,Train Wreck,COLUMBIA,SONY,41
50 30,,12,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210123,,,,,,,1/1
