3/12/2021 Ultratop - Singles - 06/02/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,06/02/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,1,4,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
2,4,7,The Kid Laroi,Without You,COLUMBIA,SONY,2
3,5,14,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
4,2,10,Tiësto,The Business,ATLANTIC,WARNER,2
5,3,17,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
6,16,4,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,6
7,9,12,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7
8,7,26,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
9,11,14,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
10 15,,17,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,10
11 10,,9,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
12 13,,12,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12
13 12,,22,Tate McRae,You Broke Me First,RCA,SONY,4
14 6,,6,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
15 14,,24,BTS,Dynamite,BIGHIT,SONY,5
16 8,,23,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
17 27,,3,HVME,Goosebumps,B1,SONY,17
18 19,,13,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14
19 21,,5,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19
20 22,,4,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,20
21 30,,4,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,21
22 23,,21,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
23 24,,6,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,23
24 17,,12,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
25 34,,3,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25
26 18,,24,Miley Cyrus,Midnight Sky,RCA,SONY,6
27 25,,15,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
28 29,,18,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
29 26,,9,Lil Nas X,Holiday,COLUMBIA,SONY,9
30 20,,20,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
31 31,,12,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
32 32,,31,Banners,Someone To You,ISLAND,UNIVERSAL,8
33 28,,20,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
34 33,,20,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15
35 37,,2,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,35
36 38,,19,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
37 35,,61,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
38 45,,3,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,38
39 42,,15,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
40 NEW,,1,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,40
41 41,,5,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40
42 36,,11,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
43 NEW,,1,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,43
44 NEW,,1,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,44
45 40,,36,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
46 RE,,4,Nothing But Thieves,Impossible,RCA,SONY,45
47 NEW,,1,Maude [BE],Dance You Off,MOSTIKO,CNR,47
48 39,,27,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1
49 46,,11,James Arthur,Train Wreck,COLUMBIA,SONY,41
50 NEW,,1,Sabien Tiels feat. Westelinck,Als jij het niet meer weet,VLNL,CRICKET HILL,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210206,,,,,,,1/1
