3/12/2021 Ultratop - Singles - 28/11/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,28/11/2020,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,2,16,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
2,1,4,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
3,4,13,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
4,3,7,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,3
5,5,12,Tate McRae,You Broke Me First,RCA,SONY,4
6,8,14,BTS,Dynamite,BIGHIT,SONY,6
7,6,9,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
8,11,10,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8
9,9,10,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
10 15,,5,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,10
11 26,,2,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,11
12 13,,2,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,12
13 7,,14,Miley Cyrus,Midnight Sky,RCA,SONY,6
14 17,,5,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14
15 12,,17,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1
16 14,,11,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
17 16,,10,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,16
18 25,,8,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18
19 20,,8,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
20 10,,20,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
21 22,,7,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,17
22 18,,10,"Internet Money & Gunna feat. Don Toliver &
Nav",Lemonade,CAROLINE,UNIVERSAL,13
23 39,,4,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,23
24 21,,3,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21
25 29,,26,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
26 24,,51,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
27 19,,21,Banners,Someone To You,ISLAND,UNIVERSAL,8
28 38,,8,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28
29 35,,4,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
30 28,,3,Milow,First Day Of My Life,HOMERUN,SONY,28
31 33,,8,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26
32 NEW,,1,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,32
33 31,,5,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31
34 34,,35,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3
35 27,,23,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
36 30,,10,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
37 32,,3,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32
38 23,,11,Kygo x Tina Turner,What's Love Got To Do With It SONY,,SONY,12
39 48,,2,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,39
40 41,,2,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,40
41 45,,3,James Arthur,Train Wreck,COLUMBIA,SONY,41
42 40,,14,Suzan & Freek / Snelle,De overkant,SONY/CLOUD 9,SONY,11
43 36,,24,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1
44 44,,7,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,32
45 43,,10,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
46 NEW,,1,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,46
47 42,,24,Ray Dalton,In My Bones,EPIC,SONY,13
48 46,,2,Harry Styles,Golden,COLUMBIA,SONY,46
49 37,,18,Aya Nakamura,Jolie nana,REC. 118,WARNER,8
50 47,,15,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201128,,,,,,,1/1
