3/12/2021 Ultratop - Singles - 06/03/2021,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,06/03/2021,,,
# VW W Artiest,,,,Titel,Label,Distributeur HP,
1,4,8,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,1
2,2,11,The Kid Laroi,Without You,COLUMBIA,SONY,2
3,5,14,Tiësto,The Business,ATLANTIC,WARNER,2
4,3,4,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,3
5,1,8,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1
6,7,21,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1
7,18,2,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND SONY,,7
8,8,5,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,8
9,6,18,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
10 9,,10,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5
11 10,,13,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10
12 13,,8,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,12
13 12,,16,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7
14 11,,30,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
15 17,,10,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,15
16 15,,9,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,15
17 27,,6,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,17
18 24,,8,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16
19 26,,7,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,19
20 14,,7,HVME,Goosebumps,B1,SONY,14
21 30,,7,Sheppard,Learning To Fly,DECCA,UNIVERSAL,21
22 50,,2,Cleymans & Van Geel,En route,DPG/INMEDIATE INT,CNR,22
23 19,,21,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8
24 16,,16,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7
25 20,,16,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12
26 21,,26,Tate McRae,You Broke Me First,RCA,SONY,4
27 28,,28,BTS,Dynamite,BIGHIT,SONY,5
28 22,,27,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
29 29,,65,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
30 23,,17,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13
31 32,,25,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
32 45,,5,Maude [BE],Dance You Off,MOSTIKO,CNR,31
33 25,,18,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8
34 34,,35,Banners,Someone To You,ISLAND,UNIVERSAL,8
35 40,,2,Tom Grennan,Little Bit Of Love,INSANITY,SONY,35
36 47,,4,Sara Kays,Remember That Night?,ATLANTIC,WARNER,36
37 31,,22,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14
38 NEW,,1,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,SONY,38
39 38,,16,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10
40 36,,3,Dua Lipa,We're Good,WARNER,WARNER,36
41 41,,3,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,41
42 44,,4,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40
43 37,,3,JC Stewart,Break My Heart,WARNER,WARNER,37
44 42,,5,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39
45 49,,2,Lil Tjay feat. 6lack,Calling My Phone,COLUMBIA,SONY,45
46 33,,13,Lil Nas X,Holiday,COLUMBIA,SONY,9
47 NEW,,1,Masked Wolf,Astronaut In The Ocean,ELEKTRA,WARNER,47
48 46,,28,Miley Cyrus,Midnight Sky,RCA,SONY,6
49 43,,19,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6
50 35,,15,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20210306,,,,,,,1/1
