3/12/2021 Ultratop - Singles - 14/11/2020,,,,,,,
Vlaanderen - De enige echte officiële hitparade,,,,,,,
Singles,,,,14/11/2020,,,
# VW W Artiest,,,,Titel,Label,Distributeur,HP
1,3,2,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1
2,1,14,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1
3,2,11,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2
4,5,10,Tate McRae,You Broke Me First,RCA,SONY,4
5,7,7,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4
6,8,12,Miley Cyrus,Midnight Sky,RCA,SONY,6
7,6,5,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,4
8,4,15,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1
9,9,12,BTS,Dynamite,BIGHIT,SONY,7
10 16,,18,Zoe Wees,Control,CAROLINE,UNIVERSAL,6
11 14,,9,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11
12 12,,19,Banners,Someone To You,ISLAND,UNIVERSAL,8
13 10,,8,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,10
14 11,,8,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8
15 19,,3,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,15
16 13,,8,"Internet Money & Gunna feat. Don Toliver &
Nav",Lemonade,CAROLINE,UNIVERSAL,13
17 24,,5,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,17
18 18,,24,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2
19 25,,8,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19
20 17,,3,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,17
21 21,,8,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,21
22 20,,6,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17
23 23,,9,Kygo x Tina Turner,What's Love Got To Do With It,SONY,SONY,12
24 29,,49,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1
25 NEW,,1,"Laura Tesoro & Loïc Nottet feat. Alex
Germys",Strangers,SONY,SONY,25
26 15,,21,Ava Max,Kings & Queens,ATLANTIC,WARNER,4
27 30,,6,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,27
28 33,,33,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3
29 28,,22,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1
30 31,,12,Suzan & Freek / Snelle,De overkant,SONY/CLOUD 9,SONY,11
31 22,,16,Aya Nakamura,Jolie nana,REC. 118,WARNER,8
32 26,,6,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26
33 27,,2,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27
34 32,,3,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,32
35 34,,22,Ray Dalton,In My Bones,EPIC,SONY,13
36 38,,6,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,36
37 36,,8,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36
38 37,,12,Cardi B feat. Megan Thee Stallion,WAP,ATLANTIC,WARNER,14
39 46,,2,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,39
40 40,,18,Robin Schulz & Wes,Alane,WARNER,WARNER,14
41 42,,5,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,32
42 44,,6,Celeste [UK],Little Runaway,POLYDOR,UNIVERSAL,42
43 50,,4,Miss Montreal,Door de wind,CORNELIS,CORNELIS,36
44 NEW,,1,Milow,First Day Of My Life,HOMERUN,SONY,44
45 35,,28,DaBaby feat. Roddy Ricch,Rockstar,INTERSCOPE,TOPNOTCH/UNIVERSAL,2
46 43,,13,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37
47 NEW,,1,James Arthur,Train Wreck,COLUMBIA,SONY,47
48 39,,14,Dermot Kennedy,Giants,INTERSCOPE,UNIVERSAL,27
49 41,,7,Pop Smoke feat. Lil Baby & DaBaby,For The Night,REPUBLIC,TOPNOTCH/UNIVERSAL,41
50 NEW,,1,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,50
https://www.ultratop.be/weekchart_print.asp?lang=nl&cat=s&date=20201114,,,,,,,1/1
