Date,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10,Top_11,Top_12,Top_13,Top_14,Top_15,Top_16,Top_17,Top_18,Top_19,Top_20,Top_21,Top_22,Top_23,Top_24,Top_25,Top_26,Top_27,Top_28,Top_29,Top_30,Top_31,Top_32,Top_33,Top_34,Top_35,Top_36,Top_37,Top_38,Top_39,Top_40,Top_41,Top_42,Top_43,Top_44,Top_45,Top_46,Top_47,Top_48,Top_49,Top_50,Top_51,Top_52,Top_53,Top_54,Top_55,Top_56,Top_57,Top_58,Top_59,Top_60,Top_61,Top_62,Top_63,Top_64,Top_65,Top_66,Top_67,Top_68,Top_69,Top_70,Top_71,Top_72,Top_73,Top_74,Top_75,Top_76,Top_77,Top_78,Top_79,Top_80,Top_81,Top_82,Top_83,Top_84,Top_85,Top_86,Top_87,Top_88,Top_89,Top_90,Top_91,Top_92,Top_93,Top_94,Top_95,Top_96,Top_97,Top_98,Top_99,Top_100,Top_101,Top_102,Top_103,Top_104,Top_105,Top_106,Top_107,Top_108,Top_109,Top_110,Top_111,Top_112,Top_113,Top_114,Top_115,Top_116,Top_117,Top_118,Top_119,Top_120,Top_121,Top_122,Top_123,Top_124,Top_125,Top_126,Top_127,Top_128,Top_129,Top_130,Top_131,Top_132,Top_133,Top_134,Top_135,Top_136,Top_137,Top_138,Top_139,Top_140,Top_141,Top_142,Top_143,Top_144,Top_145,Top_146,Top_147,Top_148,Top_149,Top_150,Top_151,Top_152,Top_153,Top_154,Top_155,Top_156,Top_157,Top_158,Top_159,Top_160,Top_161,Top_162,Top_163,Top_164,Top_165,Top_166,Top_167,Top_168,Top_169,Top_170,Top_171,Top_172,Top_173,Top_174,Top_175,Top_176,Top_177,Top_178,Top_179,Top_180,Top_181,Top_182,Top_183,Top_184,Top_185,Top_186,Top_187,Top_188,Top_189,Top_190,Top_191,Top_192,Top_193,Top_194,Top_195,Top_196,Top_197,Top_198,Top_199,Top_200
14-11-2020,"('24kGoldn Feat. iann dior', 'Mood')","('Gabby Barrett', 'I Hope')","('Internet Money, Gunna & Don Toliver Feat. NAV', 'Lemonade')","('Surf Mesa Feat. Emilee', 'ily (i love you baby)')","('Justin Bieber Feat. Chance The Rapper', 'Holy')","('AJR', 'Bang!')","('Pop Smoke Feat. Lil Baby & DaBaby', 'For The Night')","('Kane Brown, Swae Lee & Khalid', 'Be Like That')","('Ava Max', 'Kings & Queens')","('Dua Lipa Feat. DaBaby', 'Levitating')","('Chris Brown & Young Thug', 'Go Crazy')","('Bad Bunny & Jhay Cortez', 'Dakiti')","('GoldFord', 'Walk With Me (Acoustic Version)')","('BRS Kash', 'Th***t Baby (Go Baby)')","('Justin Bieber & benny blanco', 'Lonely')","('21 Savage & Metro Boomin Feat. Drake', 'Mr. Right Now')","('CJ', 'Whoopty')","('Travis Scott Feat. Young Thug & M.I.A.', 'FRANCHISE')","('Drake Feat. Lil Durk', 'Laugh Now Cry Later')","('Ne-Yo & Jeremih', 'U 2 Luv')","('Juice WRLD & Marshmello', 'Come & Go')","('Ariana Grande', 'positions')","('Sam Smith', 'Diamonds')","('BTS', 'Dynamite')","('Jawsh 685 & Jason Derulo', 'Savage Love (Laxed - Siren Beat)')","('Gabby Barrett Feat. Charlie Puth', 'I Hope')","('Moneybagg Yo Feat. City Girls & DaBaby', 'Said Sum (Remix)')","('Jeris Johnson & Ricky Desktop', 'damn!')","('Rihanna', 'Desperado')","('Lewis Capaldi', 'Before You Go')","('Megan Thee Stallion Feat. Young Thug', 'Don’t Stop')","('The Weeknd', 'Blinding Lights')","('Zoe Wees', 'Control')","('Jhené Aiko Feat. H.E.R.', 'B.S.')","('Billie Eilish', 'Therefore I Am')","('Shocking Blue', 'Venus')","('Chris Stapleton', 'Starting Over')","('Morgan Wallen', 'More Than My Hometown')","('Mason Williams', 'Classical Gas')","('DaBaby Feat. Young Thug', 'BLIND')","('Saweetie Feat. Jhené Aiko', 'Back to the Streets')","('binki', 'Heybb!')","('Gracie Abrams', 'Stay')","('Capone', 'Streets Favorite')","('SZA Feat. Ty Dolla $ign, The Neptunes & Pharrell Williams', 'Hit Different')","('H.E.R.', 'Damage')","('Niko Moon', 'GOOD TIME')","('Remi Wolf', 'Hello Hello Hello (Polo & Pan Remix)')","('SAINt JHN', 'Roses (Imanbek Remix)')","('Luke Combs', 'Better Together')","('Mulatto Feat. Gucci Mane', 'Muwop')","(""Why Don't We"", ""Fallin'"")","('Young Dolph Feat. Megan Thee Stallion', 'RNB')","('Pop Smoke', 'What You Know Bout Love')","('Pop Smoke Feat. 50 Cent & Roddy Ricch', 'The Woo')","('G-Eazy Feat. blackbear', 'Hate The Way')","('Maluma & The Weeknd', 'Hawái (Remix)')","('Shawn Mendes', 'Wonder')","('Fousheé', 'Deep End')","('Joel Corry Feat. MNEK', 'Head & Heart')","('Big Sean Feat. Ty Dolla $ign & Jhené Aiko', 'Body Language')","('Parker McCollum', 'Pretty Heart')","('Anna Hauss, Robert Wienröder & William Horberg', ""I Can't Remember Love (Music from the Netflix Limited Series the Queen's Gambit)"")","('Cannons', 'Fire For You')","('Tate McRae', 'you broke me first')","('K Camp Feat. Jacquees', ""What's On Your Mind"")","('Yung Bleu Feat. Drake', 'You’re Mines Still')","('Chris Brown & Young Thug', 'Say You Love Me')","('DaBaby Feat. Roddy Ricch', 'ROCKSTAR')","('DJ Chose Feat. Beatking', 'THICK')","('Popp Hunna', 'Adderall (Corvette Corvette)')","('Fleetwood Mac', 'Dreams')","('Lil Baby & 42 Dugg', 'We Paid')","('Kanye West', 'Ultralight Beam')","('Maluma', 'Hawái')","('Usher', 'Bad Habits')","('Peggy Lee', 'Fever')","('Jason Aldean', 'Got What I Got')","('Ella Mai', 'Not Another Love Song')","('Machine Gun Kelly & blackbear', ""my ex's best friend"")","('Dan + Shay', 'I Should Probably Go To Bed')","('HARDY Feat. Lauren Alaina & Devin Dawson', 'ONE BEER')","('Ritt Momney', 'Put Your Records On')","('Foo Fighters', 'Shame Shame')","('Ariana Grande', 'pov')","('MGMT', 'Little Dark Age')","('The Vogues', ""You're The One"")","('Cardi B Feat. Megan Thee Stallion', 'WAP')","('Bill Withers', 'Lovely Day')","('Carly Pearce & Charles Kelley', ""I Hope You're Happy Now (Live from the CMA Awards 2020)"")","('Popcaan Feat. Drake & PARTYNEXTDOOR', 'TWIST & TURN')","('Post Malone', 'Circles')","('Lewis Capaldi', 'Someone You Loved')","('Harry Styles', 'Watermelon Sugar')","('2 Chainz Feat. Mulatto', 'Quarantine Thick')","('Lil Baby', 'The Bigger Picture')","('Toosii', 'Love Cycle')","('Gillian Hills', 'Tut Tut Tut Tut')","('Natasha Mosley', 'Love Me Later')","('Keith Urban & P!nk', 'One Too Many')","('T.I. Feat. Lil Baby', 'Pardon')","('Eric Church', 'Hell Of A View')","('DDG', 'Moonwalking in Calabasas')","('Jason Derulo', 'Take You Dancing')","('King Von', 'Took Her To The O')","('Edith Whiskers', 'Home')","('All Time Low Feat. blackbear', 'Monsters')","('King Von', 'Crazy Story')","('Tones And I', 'Dance Monkey')","('Jack Harlow', 'Tyler Herro')","('Russell Dickerson', 'Love You Like I Used To')","('JP Saxe Feat. Julia Michaels', 'If The World Was Ending')","('Mike Will Made-It Feat. Nicki Minaj & YoungBoy Never Broke Again', 'What That Speed Bout!?')","('Harry Styles', 'Golden')","('J. Balvin, Dua Lipa, Bad Bunny & Tainy', 'UN DIA (ONE DAY)')","('Bankrol Hayden Feat. Polo G', 'Whatchu On Today')","('Cordae Feat. Roddy Ricch', 'Gifted')","('Internet Money, Don Toliver & Roddy Ricch', 'Lemonade (Remix)')","('Darius Rucker', 'Beers And Sunshine')","('blackbear', 'Hot Girl Bummer')","('DJ Khaled Feat. Drake', 'GREECE')","('Beatking Feat. Queendome Come', 'Then Leave')","('Dua Lipa', 'Break My Heart')","('Royal & the Serpent', 'Overwhelmed')","('Jack Harlow', 'WHATS POPPIN')","('YoungBoy Never Broke Again', 'Kacey Talk')","('Conan Gray', 'Heather')","('Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko', 'Relación (Remix)')","('24kGoldn, Justin Bieber, J Balvin & iann dior', 'Mood (Remix)')","('Francisca Valenzuela', 'Prenderemos Fuego Al Cielo')","('Big Sean Feat. Post Malone', 'Wolves')","('Lee Brice', 'One Of Them Girls')","(""Herman's Hermits"", 'End Of The World')","('Ashley McBryde', 'One Night Standards')","('Vedo', 'You Got It')","('Clairo', 'Sofia')","('KYLE Feat. K CAMP & Rich The Kid', 'YES!')","('Rod Wave Feat. ATR Son Son', 'Rags2Riches')","('Farruko', 'La Tóxica')","('Bryson Tiller Feat. Drake', 'Outta Time')","('Blake Shelton Feat. Gwen Stefani', 'Happy Anywhere')","('Dan + Shay & Justin Bieber', '10,000 Hours')","('Kygo & OneRepublic', 'Lose Somebody')","('Luca Fogale', 'Surviving')","('Thomas Rhett', 'What’s Your Country Song')","('Bebe Rexha Feat. Doja Cat', ""Baby, I'm Jealous"")","('Tones And I', 'Fly Away')","('DJ Khaled Feat. Drake', 'POPSTAR')","('Edith Piaf', 'Non, Je Ne Regrette Rien')","('Polo G', 'Martin & Gina')","('Lil Nas X', 'HOLIDAY')","('Dua Lipa', ""Don't Start Now"")","('Aretha Franklin', ""You're All I Need To Get By"")","('Sada Baby', 'Whole Lotta Choppas')","('Pop Smoke Feat. Lil Tjay', 'Mood Swings')","('Lil Durk, 6LACK & Young Thug', 'Stay Down')","('Miley Cyrus', 'Midnight Sky')","('Roddy Ricch Feat. Mustard', 'High Fashion')","('Jon Pardi', ""Ain't Always The Cowboy"")","('Harry Styles', 'Adore You')","('MO3 & Kevin Gates', 'Broken Love')","('Ariana Grande', '34+35')","('Chris Brown Feat. Drake', 'No Guidance')","('James Arthur', 'Train Wreck')","('Doja Cat', 'Say So')","('347aidan', 'Dancing in My Room')","('Ricky Desktop', 'The Banjo Beat, Pt. 1')","('MORGENSHTERN', 'ICE')","('Maren Morris', 'The Bones')","('21 Savage & Metro Boomin', 'Runnin')","('Lil Yachty', 'Coffin')","('Camilo', 'Vida de Rico')","('Calvin Harris & The Weeknd', 'Over Now')","('LCD Soundsystem', 'Oh Baby')","('Zara Larsson', 'WOW')","('Manuel Turizo, Rauw Alejandro & Myke Towers', 'La Nota')","('Masego & FKJ', 'Tadow')","('Jack Harlow Feat. DaBaby, Lil Wayne & Tory Lanez', 'WHATS POPPIN (Remix)')","('Powfu', 'death bed (feat. beabadoobee) [coffee for your head]')","('John Legend & Gary Clark Jr.', 'Wild')","('Joy Oladokun Feat. Tim Gent', 'mercy')","('Little Big Town', 'Wine, Beer, Whiskey')","('Sada Baby Feat. Nicki Minaj', 'Whole Lotta Choppas (Remix)')","('The Monkees', ""Steppin' Stone (I'm Not Your)"")","('KAROL G', 'BICHOTA')","('Sam Hunt', ""Breaking Up Was Easy In The 90's"")","('Jeezy Feat. Yo Gotti', 'Back')","('Lonr. Feat. H.E.R.', 'Make the Most')","('Luke Combs', 'Forever After All')","('Jerry Di', 'Mi Cuarto')","('Pooh Shiesty Feat. Lil Durk', 'Back In Blood')","('Chris Lane', 'Big, Big Plans')","('Georgie Fame & The Blue Flames', 'Yeh, Yeh')","('Usher', 'Climax')","('Matt Stell', 'Everywhere But On')","('Wallows Feat. Clairo', 'Are You Bored Yet?')","('Flipp Dinero Feat. A Boogie Wit Da Hoodie', 'No No No')","('Master KG Feat. Nomcebo Zikode', 'Jerusalema')","('Matthew West', 'Truth Be Told')","('Gabby Barrett', 'The Good Ones')"
21-11-2020,"('SZA & Justin Timberlake', 'The Other Side')","('24kGoldn Feat. iann dior', 'Mood')","('Justin Bieber Feat. Chance The Rapper', 'Holy')","('Internet Money, Gunna & Don Toliver Feat. NAV', 'Lemonade')","('Shawn Mendes & Justin Bieber', 'Monster')","('Dua Lipa Feat. DaBaby', 'Levitating')","('Billie Eilish', 'Therefore I Am')","('Surf Mesa Feat. Emilee', 'ily (i love you baby)')","('Pop Smoke Feat. Lil Baby & DaBaby', 'For The Night')","('Justin Bieber & benny blanco', 'Lonely')","('BRS Kash', 'Th***t Baby (Go Baby)')","('AJR', 'Bang!')","('Ava Max', 'Kings & Queens')","('Gabby Barrett', 'I Hope')","('Chris Brown & Young Thug', 'Go Crazy')","('Kane Brown, Swae Lee & Khalid', 'Be Like That')","('Lewis Capaldi', 'Before You Go')","('Bad Bunny & Jhay Cortez', 'Dakiti')","('21 Savage & Metro Boomin Feat. Drake', 'Mr. Right Now')","('BTS', 'Dynamite')","('Remi Wolf', 'Hello Hello Hello (Polo & Pan Remix)')","('CJ', 'Whoopty')","('Ariana Grande', 'positions')","('Megan Thee Stallion', 'Body')","('Drake Feat. Lil Durk', 'Laugh Now Cry Later')","('Ne-Yo & Jeremih', 'U 2 Luv')","('Travis Scott Feat. Young Thug & M.I.A.', 'FRANCHISE')","('Aloe Blacc', ""You Can't Always Get What You Want"")","('Sam Smith', 'Diamonds')","('Jhené Aiko Feat. H.E.R.', 'B.S.')","('Saweetie Feat. Jhené Aiko', 'Back to the Streets')","('Megan Thee Stallion Feat. Young Thug', 'Don’t Stop')","('Jawsh 685 & Jason Derulo', 'Savage Love (Laxed - Siren Beat)')","('Moneybagg Yo Feat. City Girls & DaBaby', 'Said Sum (Remix)')","('H.E.R.', 'Damage')","('Zoe Wees', 'Control')","('The Weeknd', 'Blinding Lights')","('Juice WRLD & Marshmello', 'Come & Go')","('BTS', 'Life Goes On')","('KYLE Feat. K CAMP & Rich The Kid', 'YES!')","('Gabby Barrett Feat. Charlie Puth', 'I Hope')","('DaBaby Feat. Young Thug', 'BLIND')","('Shawn Mendes', 'Wonder')","('Dan + Shay', 'I Should Probably Go To Bed')","('Niko Moon', 'GOOD TIME')","('Chris Stapleton', 'Starting Over')","('SZA Feat. Ty Dolla $ign, The Neptunes & Pharrell Williams', 'Hit Different')","('Rihanna', 'Desperado')","('Luke Combs', 'Better Together')","('Pop Smoke', 'What You Know Bout Love')","('Tate McRae', 'you broke me first')","(""Why Don't We"", ""Fallin'"")","('G-Eazy Feat. blackbear', 'Hate The Way')","('Machine Gun Kelly & blackbear', ""my ex's best friend"")","('Mulatto Feat. Gucci Mane', 'Muwop')","('Morgan Wallen', 'More Than My Hometown')","('The War and Treaty', 'Take Me In')","('Shocking Blue', 'Venus')","('Cannons', 'Fire For You')","('SAINt JHN', 'Roses (Imanbek Remix)')","('Lil Baby & 42 Dugg', 'We Paid')","('Yung Bleu Feat. Drake', 'You’re Mines Still')","('Ella Mai', 'Not Another Love Song')","('Chris Brown & Young Thug', 'Say You Love Me')","('Joel Corry Feat. MNEK', 'Head & Heart')","('Bebe Rexha Feat. Doja Cat', ""Baby, I'm Jealous"")","('Sonder', 'Too Fast')","('Parker McCollum', 'Pretty Heart')","('BANNERS', 'Where the Shadow Ends (Acoustic)')","('K Camp Feat. Jacquees', ""What's On Your Mind"")","('Usher', 'Bad Habits')","('Maluma & The Weeknd', 'Hawái (Remix)')","('Gucci Mane', 'Truth')","('T.I. Feat. Lil Baby', 'Pardon')","('Lil Nas X', 'HOLIDAY')","('Mason Williams', 'Classical Gas')","('King Von', 'Crazy Story')","('DJ Chose Feat. Beatking', 'THICK')","('Big Sean Feat. Ty Dolla $ign & Jhené Aiko', 'Body Language')","('Maluma', 'Hawái')","('Pop Smoke Feat. 50 Cent & Roddy Ricch', 'The Woo')","('Jack Harlow', 'Tyler Herro')","('The Weeknd', 'Save Your Tears')","('Jeezy Feat. JAY Z', 'Seen It All')","('Ritt Momney', 'Put Your Records On')","('Sean Kingston & Justin Bieber', 'Eenie Meenie')","('DaBaby Feat. Roddy Ricch', 'ROCKSTAR')","('Fousheé', 'Deep End')","('HARDY Feat. Lauren Alaina & Devin Dawson', 'ONE BEER')","('Fleetwood Mac', 'Dreams')","('Jason Aldean', 'Got What I Got')","('Capone', 'Streets Favorite')","('Sam Palladio', 'Under the Tree')","('Lewis Capaldi', 'Someone You Loved')","('Bryson Tiller Feat. Drake', 'Outta Time')","('Post Malone', 'Circles')","('MGMT', 'Little Dark Age')","('King Princess', '1950')","('Popp Hunna', 'Adderall (Corvette Corvette)')","('Jeezy Feat. Bankroll Fresh', 'All There')","('Anna Hauss, Robert Wienröder & William Horberg', ""I Can't Remember Love (Music from the Netflix Limited Series the Queen's Gambit)"")","('DDG', 'Moonwalking in Calabasas')","('Keith Urban & P!nk', 'One Too Many')","('Harry Styles', 'Golden')","('Gucci Mane Feat. Rocko & T.I.', 'Plain Jane')","('Popcaan Feat. Drake & PARTYNEXTDOOR', 'TWIST & TURN')","('All Time Low Feat. blackbear', 'Monsters')","('Tones And I', 'Dance Monkey')","('Ariana Grande', '34+35')","('Jason Derulo', 'Take You Dancing')","('Young Jeezy', 'Jeezy The Snowman')","('Young Jeezy', 'Everythang')","('Edith Whiskers', 'Home')","('Cardi B Feat. Megan Thee Stallion', 'WAP')","('Royal & the Serpent', 'Overwhelmed')","('John Legend', 'Never Break')","('Young Dolph Feat. Megan Thee Stallion', 'RNB')","('Foogiano', 'MOLLY (BABY MAMA)')","('21 Savage & Metro Boomin', 'Runnin')","('Gucci Mane', 'Icy')","('Jack Harlow', 'WHATS POPPIN')","('Toosii', 'Love Cycle')","('Cordae Feat. Roddy Ricch', 'Gifted')","('Internet Money, Don Toliver & Roddy Ricch', 'Lemonade (Remix)')","('Peggy Lee', 'Fever')","('Lil Baby', 'Emotionally Scarred')","('Harry Styles', 'Watermelon Sugar')","('Grover Washington Jr.', 'Just The Two Of Us')","('Big Sean Feat. Post Malone', 'Wolves')","('JP Saxe Feat. Julia Michaels', 'If The World Was Ending')","('Vedo', 'You Got It')","('Lil Durk, 6LACK & Young Thug', 'Stay Down')","('Natasha Mosley', 'Love Me Later')","('2 Chainz Feat. Mulatto', 'Quarantine Thick')","('Mike Will Made-It Feat. Nicki Minaj & YoungBoy Never Broke Again', 'What That Speed Bout!?')","('Russell Dickerson', 'Love You Like I Used To')","('Kelly Clarkson', 'Underneath The Tree')","('Young Jeezy', 'Who Dat')","('Lil Baby', 'The Bigger Picture')","('Gracie Abrams', 'Stay')","('Polo G', 'Martin & Gina')","('Feid & Justin Quiles', 'PORFA')","('Bill Withers', 'Lovely Day')","('Jerry Di', 'Mi Cuarto')","('Neoni', 'Carry On Wayward Son')","('Gucci Mane', 'Photoshoot')","('Conan Gray', 'Heather')","('King Von', 'Took Her To The O')","('Rod Wave Feat. ATR Son Son', 'Rags2Riches')","('James Arthur', 'Train Wreck')","('MORGENSHTERN', 'ICE')","('YoungBoy Never Broke Again', 'Kacey Talk')","('Future & Lil Uzi Vert', 'That’s It')","('Farruko', 'La Tóxica')","('Clairo', 'Sofia')","('Young Jeezy Feat. Plies', 'Lose My Mind')","('Blake Shelton Feat. Gwen Stefani', 'Happy Anywhere')","('Maluma & Jennifer Lopez', 'Lonely')","('J. Balvin, Dua Lipa, Bad Bunny & Tainy', 'UN DIA (ONE DAY)')","('DaBaby', 'PRACTICE')","('Young Jeezy', 'Get Ya Mind Right')","('Dua Lipa', ""Don't Start Now"")","('Lee Brice', 'One Of Them Girls')","('KAROL G', 'BICHOTA')","('Sech, Daddy Yankee & J Balvin Feat. ROSALÍA & Farruko', 'Relación (Remix)')","('Gucci Mane Feat. OJ da Juiceman', 'Vette Pass By')","('Gillian Hills', 'Tut Tut Tut Tut')","('Camilo', 'Vida de Rico')","('The Young Rascals', 'How Can I Be Sure (Single Version)')","('Ariana Grande', 'pov')","('Gucci Mane', 'Benchwarmers')","('Jon Pardi', ""Ain't Always The Cowboy"")","('blackbear', 'Hot Girl Bummer')","('Gucci Mane', '745')","('TINK & G Herbo', 'Mine')","('Dua Lipa', 'Break My Heart')","('Future & Lil Uzi Vert', 'Drankin N Smokin')","('Doja Cat', 'Say So')","('The Vogues', ""You're The One"")","('Christian Nodal & Ángela Aguilar', 'Dime Cómo Quieres')","('Manuel Turizo, Rauw Alejandro & Myke Towers', 'La Nota')","('Flipp Dinero Feat. A Boogie Wit Da Hoodie', 'No No No')","('Jeezy Feat. Yo Gotti', 'Back')","('GoldFord', 'Walk With Me (Acoustic Version)')","('Kygo & OneRepublic', 'Lose Somebody')","('Roddy Ricch Feat. Mustard', 'High Fashion')","('The Weeknd', 'In Your Eyes')","('binki', 'Heybb!')","('Yung Bleu', 'On Cam')","('DJ Khaled Feat. Drake', 'POPSTAR')","('Gucci Mane', 'I Think I Love Her')","('Stevie Nicks', 'Edge Of Seventeen')","('Edith Piaf', 'Non, Je Ne Regrette Rien')","('Trans-Siberian Orchestra', 'Christmas Canon')","('Pooh Shiesty Feat. Lil Durk', 'Back In Blood')","('347aidan', 'Dancing in My Room')","('Sincerely Collins Feat. Disashi Of Gym Class Heroes', 'Prosper Season')","('Chris Lane', 'Big, Big Plans')","('24kGoldn, Justin Bieber, J Balvin & iann dior', 'Mood (Remix)')","('Thomas Rhett', 'What’s Your Country Song')"
